CodigoVariable,CodigoDuracion,UnidadMedida,CodigoSICAgente,CodigoPlanta,Version
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,UNGG,3NR8,TX2
GReal,PT1H,kWh,GNCG,SLV1,TX2
GReal,PT1H,kWh,GNCG,SLV1,TX2
GReal,PT1H,kWh,GNCG,SLV1,TX2
GReal,PT1H,kWh,GNCG,SLV1,TX2
GReal,PT1H,kWh,GNCG,SLV1,TX2
GReal,PT1H,kWh,GNCG,SLV1,TX2
GReal,PT1H,kWh,GNCG,SLV1,TX2
GReal,PT1H,kWh,GNCG,SLV1,TX2
GReal,PT1H,kWh,GNCG,SLV1,TX2
GReal,PT1H,kWh,GNCG,SLV1,TX2
GReal,PT1H,kWh,GNCG,SLV1,TX2
GReal,PT1H,kWh,GNCG,SLV1,TX2
GReal,PT1H,kWh,GNCG,SLV1,TX2
GReal,PT1H,kWh,GNCG,SLV1,TX2
